contract_id,bruto_premie,netto_premie,lasten,kosten,splitsingskosten,kwijtingkosten,commissie,totaal_te_betalen
39434873,2818.46,2078.73,573.43,166.30,166.30,0.00,384.64,2818.46
39434912,126.43,115.72,10.71,0.00,6.32,0.00,23.16,126.43
39435547,489.12,390.37,98.75,0.00,0.00,0.00,67.53,489.12
39436514,167.33,153.16,14.17,0.00,0.00,0.00,30.64,167.33
39436522,577.78,459.47,118.31,0.00,0.00,0.00,79.91,577.78
39437165,578.85,461.20,117.65,0.00,0.00,0.00,68.46,578.85
39437186,993.49,817.44,135.18,40.87,40.87,0.00,219.36,993.49
39437212,1305.07,975.21,271.35,58.51,58.51,0.00,167.23,1305.07
39437450,3606.06,2968.58,637.48,0.00,0.00,0.00,452.71,3606.06
39438676,461.18,381.05,80.13,0.00,0.00,0.00,60.23,461.18
39438790,703.36,643.80,59.56,0.00,0.00,0.00,128.76,703.36
39438809,1171.42,927.43,243.99,0.00,0.00,0.00,163.34,1171.42
39439087,795.99,632.05,163.94,0.00,0.00,0.00,113.12,795.99
39440489,209.96,181.40,28.56,0.00,0.00,0.00,47.75,209.96
39440695,163.27,137.49,25.78,0.00,0.00,0.00,27.50,163.27
39442079,449.32,389.45,59.87,0.00,0.00,0.00,96.55,449.32
39442088,93.41,85.50,7.91,0.00,0.00,0.00,18.44,93.41
39442966,834.30,810.00,24.30,0.00,0.00,0.00,60.75,0.00
39443618,1941.81,1545.76,396.05,0.00,0.00,0.00,284.99,1941.81
39444285,0.00,0.00,0.00,0.00,0.00,0.00,63.00,0.00
39444524,21335.61,20313.48,1022.13,0.00,0.00,0.00,2283.50,21335.61
39444545,685.90,627.83,58.07,0.00,0.00,0.00,125.57,685.90
39445652,2455.56,2018.12,437.44,0.00,0.00,0.00,312.40,2455.56
39445714,2112.79,1682.75,430.04,0.00,0.00,0.00,268.94,2112.79
39445729,554.88,436.57,118.31,0.00,0.00,0.00,74.22,554.88
39445880,583.13,439.88,116.85,26.40,26.40,0.00,76.32,583.13
39445888,559.68,445.52,114.16,0.00,0.00,0.00,0.00,559.68
39445993,575.42,457.61,117.81,0.00,0.00,0.00,79.59,575.42
39446777,651.39,596.24,55.15,0.00,0.00,0.00,119.25,651.39
39446830,108.00,98.86,9.14,0.00,0.00,0.00,21.44,108.00
39448570,648.27,538.01,110.26,0.00,0.00,0.00,79.45,648.27
39449858,209.96,181.40,28.56,0.00,0.00,0.00,47.75,209.96
39449864,93.41,85.50,7.91,0.00,0.00,0.00,18.44,93.41
39451031,553.28,442.42,110.86,0.00,0.00,0.00,76.72,553.28
39451411,663.70,528.25,135.45,0.00,0.00,0.00,95.75,663.70
39452414,1014.35,803.85,210.50,0.00,0.00,0.00,142.33,1014.35
39453090,6961.79,6176.00,785.79,0.00,0.00,0.00,760.36,6961.79
39453813,636.73,492.29,114.90,29.54,29.54,0.00,85.20,636.73
