betadr_id,bet_id,address_id,opmerking,naam,facturatieadres,correspondentieadres,domicilieadres
25528155,125923103,33057131,,,1,1,1
25528736,125923544,33058064,,,1,1,1
25529663,125924143,33059555,,,1,1,1
25748269,125926502,33376336,,,0,0,0
28981045,125926506,41266741,,,0,0,0
25543503,125935707,33081771,,,1,0,1
25543506,125935710,33081774,,,1,1,1
25564246,125954450,33111470,,,1,1,1
25569088,125957500,33119136,,,1,1,1
25569100,125957512,33119148,,,1,1,1
25569526,125957862,33119850,,,1,0,1
25583396,125967484,33141740,,,1,0,1
25588411,125970443,33149523,,,1,0,1
27894690,125970447,37162746,,,1,0,1
25588415,125970451,33149527,,,1,0,1
25606075,125991127,33171195,,,1,1,1
25607691,125992923,33173275,,,1,0,1
25621985,126004421,33196633,,,0,0,1
28078280,126004429,38139941,,,1,0,1
25621993,126004433,33196641,,,0,0,1
25742224,126004433,33364879,,,0,0,0
26044915,126004437,33822016,,,0,0,0
26671110,126004437,34798533,,,0,0,0
28142111,126004437,38427221,,,0,0,0
31864980,126004437,45260848,,,1,1,1
30880542,126004441,44048514,,,0,0,0
25622005,126004445,33196653,,,0,0,0
25622009,126004449,33196657,,,0,0,0
28508295,126004449,39483093,,,1,0,1
25622013,126004453,33196661,,,1,1,1
30574713,126004461,43543431,,,1,1,1
28128176,126004465,38409344,,,1,0,1
25622025,126004469,33196673,,,0,0,0
25688914,126004469,33292714,,,1,0,1
25622029,126004477,33196677,,,0,0,1
25622037,126004485,33196685,,,0,0,1
25622041,126004493,33196689,,,0,0,0
25622045,126004497,33196693,,,0,0,1
31878799,126004501,45284650,,,1,1,1
25622053,126004505,33196701,,,0,0,0
27990101,126004505,37500833,,,1,0,1
25622061,126004513,33196709,,,0,0,1
25622065,126004521,33196713,,,0,0,0
30015141,126004521,42760314,,,1,1,1
25688716,126004533,33292297,,,1,0,1
30883587,126004537,44053614,,,0,0,0
30883590,126004537,44053617,,,0,0,0
25622085,126004541,33196733,,,0,0,0
27458619,126004545,36448998,,,0,0,0
29943550,126004545,42633733,,,1,1,1
25622093,126004549,33196741,,,0,0,0
25622097,126004553,33196745,,,0,0,0
27450314,126004553,36437813,,,1,0,1
25622101,126004557,33196749,,,0,0,0
25622105,126004561,33196753,,,0,0,0
25688690,126004565,33292217,,,1,0,1
25622113,126004569,33196761,,,0,0,0
25622117,126004573,33196765,,,0,0,0
25622121,126004577,33196769,,,0,0,1
26416211,126004585,34429688,,,1,0,1
28750699,126004589,39900382,,,1,0,1
30880546,126004593,44048521,,,0,0,0
25622141,126004597,33196789,,,0,0,0
30716778,126004597,43780152,,,1,1,1
25622145,126004601,33196793,,,0,0,1
25622149,126004605,33196797,,,0,0,1
28990301,126004609,41318849,,,0,0,0
27766902,126004613,36905253,,,1,0,1
25622161,126004617,33196809,,,0,0,1
31640849,126004621,44966450,,,1,1,1
25637930,126004629,33221414,,,1,0,1
25637926,126004633,33221410,,,1,0,1
25688710,126004637,33292273,,,1,0,1
25622177,126004641,33196825,,,0,0,0
25622181,126004645,33196829,,,0,0,1
25622185,126004653,33196833,,,0,0,0
30885748,126004653,44057230,,,0,0,0
25622189,126004657,33196837,,,0,0,0
25622193,126004661,33196841,,,0,0,0
25622197,126004665,33196845,,,0,0,1
25688488,126004669,33291841,,,1,0,1
30684363,126004677,43725942,,,0,0,0
25622213,126004685,33196861,,,0,0,1
25692777,126004689,33298761,,,0,0,0
30538397,126004689,43478387,,,1,1,1
25688881,126004697,33292666,,,1,0,1
25758742,126004701,33392227,,,1,1,1
30085960,126004705,42840250,,,0,0,1
30354110,126004713,43187483,,,1,1,1
25690894,126004721,33295678,,,1,0,1
25622245,126004725,33196893,,,0,0,0
29037492,126004729,41396355,,,1,1,1
25622253,126004741,33196901,,,0,0,1
25622257,126004745,33196905,,,1,0,1
28770706,126004749,40030099,,,1,1,1
25690918,126004757,33295723,,,0,0,1
25622281,126004769,33196929,,,0,0,0
31867093,126004769,45264509,,,1,1,1
25622285,126004773,33196933,,,0,0,0
31885431,126004773,45295279,,,1,1,1
25622289,126004777,33196937,,,0,0,1
25622293,126004781,33196941,,,0,0,1
30883374,126004785,44053299,,,0,0,0
25622301,126004789,33196949,,,0,0,1
25622309,126004797,33196957,,,0,0,1
30880332,126004801,44048178,,,0,0,0
25622325,126004813,33196973,,,0,0,1
29761584,126004821,42366348,,,1,0,0
25622341,126004829,33196989,,,0,0,1
30880389,126004833,44048247,,,0,0,0
25622349,126004837,33196997,,,0,0,1
25622353,126004841,33197001,,,0,0,0
25622357,126004845,33197005,,,0,0,1
29611212,126004853,42139533,,,1,1,1
25622369,126004857,33197017,,,0,0,0
30880405,126004865,44048269,,,0,0,0
25622381,126004869,33197029,,,0,0,0
31604870,126004869,44904242,,,1,1,1
30883386,126004877,44053326,,,0,0,0
25622393,126004881,33197041,,,0,0,1
25622405,126004893,33197053,,,0,0,1
25622409,126004897,33197057,,,0,0,1
25622413,126004901,33197061,,,0,0,1
30885441,126004901,44056740,,,0,0,0
28094732,126004905,38254352,,,1,0,1
25622421,126004909,33197069,,,0,0,1
25622425,126004913,33197073,,,0,0,1
27381066,126004917,36243993,,,1,0,1
25648003,126004925,33237151,,,0,0,0
25622441,126004929,33197089,,,0,0,1
29254983,126004933,41728947,,,1,1,1
25622449,126004937,33197097,,,0,0,1
26657271,126004945,34735413,,,1,1,1
25622461,126004949,33197109,,,0,0,1
25622465,126004953,33197113,,,0,0,1
25622469,126004957,33197117,,,0,0,1
25622473,126004961,33197121,,,0,0,0
28166757,126004965,38622195,,,1,1,1
25622489,126004977,33197137,,,0,0,1
28934948,126004981,40841105,,,0,0,0
25622505,126004993,33197153,,,0,0,1
25622513,126005001,33197161,,,0,0,1
25622521,126005009,33197169,,,0,0,0
31867097,126005009,45264513,,,1,1,1
27826457,126005013,37022630,,,1,0,1
25622537,126005025,33197185,,,1,1,1
25684903,126005125,33286159,,,0,0,0
30271303,126005125,43056202,,,1,1,1
30851301,126005129,44006400,,,1,1,1
25622649,126005137,33197297,,,0,0,1
25622661,126005153,33197309,,,0,0,1
30885454,126005185,44056768,,,1,1,1
25622697,126005189,33197345,,,0,0,0
25622705,126005197,33197353,,,0,0,1
25622733,126005225,33197381,,,0,0,1
28976864,126005229,41211998,,,0,0,0
25622741,126005233,33197389,,,0,0,1
25622745,126005237,33197393,,,0,0,1
25622753,126005245,33197401,,,0,0,1
25622761,126005253,33197409,,,0,0,1
25622765,126005257,33197413,,,0,0,0
25622769,126005261,33197417,,,0,0,1
25622777,126005269,33197425,,,0,0,1
25622781,126005273,33197429,,,0,0,0
25622785,126005277,33197433,,,0,0,0
25622789,126005281,33197437,,,0,0,1
25622801,126005293,33197449,,,0,0,1
25622805,126005297,33197453,,,0,0,0
30650589,126005301,43671168,,,1,1,1
25622813,126005305,33197461,,,0,0,1
25622825,126005317,33197473,,,0,0,1
25622833,126005325,33197481,,,0,0,0
25622837,126005329,33197485,,,0,0,0
25622845,126005337,33197493,,,0,0,1
30880531,126005341,44048500,,,0,0,0
25622853,126005345,33197501,,,0,0,1
25622857,126005349,33197505,,,0,0,0
25622861,126005353,33197509,,,0,0,1
25622865,126005361,33197513,,,0,0,1
25622869,126005365,33197517,,,0,0,1
25622873,126005369,33197521,,,0,0,1
27469638,126005373,36474898,,,0,0,0
25622881,126005377,33197529,,,0,0,1
25622885,126005381,33197533,,,0,0,1
26671008,126005385,34798233,,,1,0,1
25622893,126005389,33197541,,,0,0,1
31555317,126005401,44821152,,,0,0,0
31862525,126005401,45256583,,,1,1,1
25622909,126005405,33197557,,,0,0,0
28463297,126005405,39276938,,,1,0,1
28064673,126005409,38047311,,,1,0,1
30863572,126005413,44026909,,,0,0,0
25622921,126005417,33197569,,,0,0,1
27286109,126005421,36046535,,,0,0,0
31789252,126005421,45135938,,,1,1,1
25622937,126005433,33197585,,,0,0,0
25622941,126005437,33197589,,,0,0,1
25622945,126005441,33197593,,,0,0,1
25622949,126005449,33197597,,,0,0,0
25622953,126005453,33197601,,,0,0,0
25688719,126005461,33292300,,,1,0,1
31576557,126005461,44856150,,,0,0,0
31576105,126005465,44855371,,,0,0,0
25688306,126005469,33291548,,,1,0,1
25622973,126005473,33197621,,,0,0,0
25622977,126005477,33197625,,,0,0,0
25622985,126005485,33197633,,,0,0,1
25622993,126005493,33197641,,,0,0,0
25622997,126005497,33197645,,,0,0,1
25647795,126005501,33236779,,,1,0,1
25688779,126005509,33292468,,,1,0,1
28488591,126005513,39401424,,,1,0,1
30883509,126005513,44053497,,,0,0,0
30863887,126005517,44027488,,,0,0,0
30863890,126005517,44027491,,,0,0,0
25623021,126005521,33197669,,,0,0,1
25623025,126005525,33197673,,,0,0,1
30883521,126005529,44053515,,,0,0,0
25688785,126005533,33292474,,,1,0,1
28958857,126005537,41049868,,,0,0,0
25688740,126005541,33292360,,,1,0,1
25623045,126005545,33197693,,,0,0,1
25688644,126005549,33292126,,,1,0,1
25623053,126005553,33197701,,,0,0,1
30883531,126005557,44053528,,,0,0,0
25623061,126005561,33197709,,,1,0,1
30883533,126005565,44053530,,,0,0,0
30883536,126005569,44053533,,,0,0,0
25623073,126005573,33197721,,,0,0,1
25688638,126005577,33292111,,,1,0,1
28977940,126005581,41220616,,,0,0,0
30895326,126005585,44074002,,,0,0,0
31882137,126005585,45290057,,,1,1,1
27948707,126005589,37339946,,,1,1,1
25688425,126005593,33291739,,,1,0,1
25623097,126005597,33197745,,,0,0,0
25623105,126005605,33197753,,,0,0,1
30883546,126005609,44053555,,,0,0,0
30883549,126005609,44053558,,,0,0,0
25623113,126005613,33197761,,,0,0,0
25623117,126005617,33197765,,,0,0,1
25623121,126005621,33197769,,,0,0,1
25623129,126005637,33197777,,,0,0,0
25623133,126005641,33197781,,,0,0,1
25688663,126005645,33292154,,,1,0,1
28976789,126005649,41211794,,,0,0,0
28958788,126005653,41049766,,,0,0,0
25623149,126005657,33197797,,,0,0,1
