contract_id,splitsingscode_premie,totale_premie,netto_premie,lasten,kosten,splitsingskosten,commissie,totaal_te_betalen,afkoopwaarde_einde_vorigjaar,huidige_stand
33685105,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685109,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685113,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685125,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685129,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685133,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685137,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685141,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685145,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685149,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685153,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685165,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685181,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685185,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685189,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685193,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685197,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685201,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685205,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685209,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685213,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685217,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685221,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685225,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685245,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685249,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685253,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685257,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685265,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685269,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685277,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685281,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685285,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685289,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685297,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685301,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685305,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685309,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685313,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685325,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685329,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685337,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685341,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685345,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685349,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685353,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685357,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685361,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685365,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685369,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685373,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685381,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685385,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685393,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685397,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685417,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685425,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685433,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685449,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685457,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685465,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685477,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685481,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685485,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685489,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685493,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685501,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685505,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685517,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685525,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685529,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685533,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685545,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685549,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685553,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685561,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685569,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685573,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685577,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685581,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685589,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685593,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685601,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685605,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685609,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685613,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33685617,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
