guid_fid,blockretours_id,GUID,aantal,communicatietekst
24410682,72167412,ff5d9a33-0ad4-4268-a487-f80405721a4c,4,
24410730,72167488,f41963f5-f6b2-4e9b-805c-92fdf5088d61,4,
24410767,72167560,f75413a5-af89-46e2-894b-d7651b0609ed,1,
24410940,72167824,e5739265-66ee-4070-8c34-054250579974,8,
24411211,72168228,PSII-323130390-01,7,
24411918,72169915,00596bb1-f139-4455-87dd-6e4f090d7900,1,
24411921,72169918,c015b7db-0f32-40ea-a40f-098c3750d4c4,3,
24411924,72169921,7e5a67b1-2c6c-4f14-86dd-07788c7dcb94,1,
24412813,72171502,4e0a8871-94ab-4da3-a7fe-9969a106956a,5,
24413778,72172993,PSII-323142178-01,1,"We zenden u in bijlage één of meer documenten betreffende het contract"
24413881,72173134,b9ccd044-c1ad-4fb7-98f5-2abd4e43b94a,9,
24413979,72173251,159857cc-6cb6-4350-a45f-a0e66a62a3a6,4,
24414096,72173440,87DF728F41F04689B34249CCA621610B,1,
24414229,72173656,05988866-6d4d-4ed5-9781-29c179fe4689,6,
24414232,72173659,753d33a8-10f8-433a-a83c-b6af40194854,9,
24414973,72174985,PSII-323160141-01,1,"We zenden u in bijlage één of meer documenten betreffende het contract"
24415029,72175050,7d9cc18e-df89-41a5-a81a-ce82e301b7ac,2,
24415035,72175056,6370e6e6-88a8-42c3-872e-f9adc6f0976a,6,
24415267,72175389,PSII-323162886-01,1,"We zenden u in bijlage één of meer documenten betreffende het contract"
24415413,72175594,316e3a20-9e98-4d16-b7e4-5d3969f34136,6,
24415651,72175950,22a1abd7-ba6f-447c-b0f2-c24cdd5e3454,6,
24416164,72176818,D6F137995C60472DA64255283F14E0C5,1,
24417573,72182158,07C3FF8C1FE947ACB8011A77C343D5A2,1,
24418419,72183591,PSII-323343915-01,1,"We zenden u in bijlage één of meer documenten betreffende het contract"
24418885,72184261,06552a42-d89f-4511-bb0f-f66ffbc93586,1,
24419542,72185599,52b64304-9a52-422b-926d-9705156e960a,7,
24421071,72187683,55DBD6A622CB4430B345171376DB6CDD,1,
24422406,72190338,PSII-323409657-001,2,"Onderwerp: Geschil van KizilcaOp datum van 13/12/2022 op het contract 010624277205Onze referentie: 0604J2352501Gelieve de bijgevoegde brief aan uw cliënt te bezorgen. Wij danken u."
24422719,72190965,9a685e42-3e60-44c6-8a9e-8c623e76d0cb,6,
24422952,72191421,PSII-323416369-001,3,"Onderwerp: Geschil van KizilcaOp datum van 13/12/2022 op het contract 010624277205Onze referentie: 0G01J3628102Gelieve de bijgevoegde brief aan uw cliënt te bezorgen. Wij danken u."
24423534,72192330,PSII-323421759-001,2,"Onderwerp: Geschil van All-UpOp datum van 23/11/2022 op het contract 010623684769Onze referentie: 0604J1748701Bijgevoegd vindt u een aan u geadresseerde communicatie."
24423598,72192403,PSII-323423010-001,1,"Onderwerp: Geschil van All-UpOp datum van 23/11/2022 op het contract 010623684769Onze referentie: 0604J1748701Gelieve de bijgevoegde brief aan uw cliënt te bezorgen. Wij danken u."
24425088,72194806,PSII-323441432-002,1,"Onderwerp: Geschil van Celik 36Op datum van 06/01/2022 op het contract 010623942110Onze referentie: 0G00J8045902Bijgevoegd vindt u een communicatie waarvan u in kopie staat."
24425425,72195312,PSII-323446535-04,2,
24425487,72195370,PSII-323445988-1,1,"We hebben de domiciliëring met het gevraagde bankrekeningnummergeactiveerd. Referencie nr. van de domiciliering : 010720251628001"
24426888,72197911,794d1c99-a3c4-4852-9f98-ec9dab02cd82,1,
24428103,72200190,PSII-323484716-04,1,
24428230,72200418,41F511796652463F93F6E127EC1A1616,1,
24428290,72200512,c4cc7e9a-3b12-412a-8094-e7964c0ccb67,5,
24428566,72200977,PSII-323490604-01,7,
24429178,72202452,b38775d4-7470-4ee5-abd2-faf11e8c56a8,1,
24431707,72251889,dd596c4f-24b3-49e6-ae7a-1366faba0987,6,
24432054,72252649,a176d92e-4249-4764-a8e6-c0589c51d2c6,4,
24433614,72255136,PSII-323572678-001,1,"Onderwerp: Geschil van Ak DigitalOp datum van 14/12/2022 op het contract 010624152302Onze referentie: 0604J2475801Gelieve de bijgevoegde brief aan uw cliënt te bezorgen. Wij danken u."
24436119,72260488,eddc33b8-4a49-40cd-b275-33e0fa51c36f,1,
24436210,72260668,PSII-323619316-01,1,"We zenden u in bijlage één of meer documenten betreffende het contract"
24436366,72260922,8a9ceaad-657f-4436-a138-693a1dd8e10b,1,
24436393,72260950,PSII-323622281-01,1,"We zenden u in bijlage één of meer documenten betreffende het contract"
24436396,72260953,PSII-323622555-01,1,"We zenden u in bijlage één of meer documenten betreffende het contract"
24436474,72261076,PSII-323623997-01,1,"We zenden u in bijlage één of meer documenten betreffende het contract"
24437524,72263098,32f568a3-46a8-41fc-a5d4-154f31569fad,1,
24438141,72264376,PSII-323672008-001,2,"Onderwerp: Geschil van Doina MardareOp datum van 09/09/2022 op het contract 010624096303Onze referentie: 0G01J2005902Bijgevoegd vindt u een aan u geadresseerde communicatie."
24438856,72266338,PSII-323685406-01,7,
24438907,72266433,PSII-323686425-01,7,
24440373,72268815,b049b685-4998-449e-89f4-c18ff3a4e36c,5,
24441081,72270547,33d65f64-396d-42c0-95ee-429fdd93bea7,3,
24441949,72272094,PSII-323727959-002,1,"Tenzij we ons vergissen, hebben we voor dit contract geen             premiebetaling ontvangen. We hebben een brief naar de klant gestuurd. Hierbij kopij van het document."
24441952,72272097,PSII-323728119-002,1,"Tenzij we ons vergissen, hebben we voor dit contract geen             premiebetaling ontvangen. We hebben een brief naar de klant gestuurd. Hierbij kopij van het document."
24442719,72273663,12f05be4-20c6-428d-a96b-b53ce5170ed5,4,
24445615,72279403,9799c1d7-7c43-49d9-88d6-de70f9abfdb3,6,
24445620,72279414,263a920f-4913-429e-a18a-d980dd772859,5,
24447142,72283059,1eeda3d6-8423-4157-83de-fc789c02f9c5,3,
24447402,72283557,PSII-323827666-002,1,"Onderwerp: Geschil van M MOp datum van 15/07/2022 op het contract 010624173468Onze referentie: 0604J2439301Bijgevoegd vindt u kopie van de aan uw cliënt gerichte communicatie."
24447405,72283560,PSII-323828163-001,1,"Onderwerp: Geschil van M MOp datum van 15/07/2022 op het contract 010624173468Onze referentie: 0604J2439301Gelieve de bijgevoegde brief aan uw cliënt te bezorgen. Wij danken u."
24447657,72283983,C60A924516594E60A52DF1BED8B130D6,1,
24447660,72283995,df056152-6f44-43cd-86e7-046f26d1e28c,8,
24450475,72289465,PSII-323867525-001,2,"Onderwerp: Geschil van All-UpOp datum van 01/12/2022 op het contract 010624215303Onze referentie: 0604J2069101Bijgevoegd vindt u een aan u geadresseerde communicatie."
24453696,72300175,073c7b58-9c2d-4e10-8455-f47b321e8f02,4,
