contract_id,maatschappij_id,maatschappij,afloopdatum,overgenomen,polisnummer,commentaar,ondernomen,bevestigd,mandaat
33685489,,,0000-00-00,1,5k13360,,,0,0
33685493,,,0000-00-00,0,,,,0,0
33685501,,,0000-00-00,0,,,,0,0
33685505,,,0000-00-00,0,,,,0,0
33685517,,,0000-00-00,0,,,,0,0
33685525,,,0000-00-00,0,,,,0,0
33685529,,,0000-00-00,0,,,,0,0
33685533,,,0000-00-00,0,,,,0,0
33685545,,,0000-00-00,0,,,,0,0
33685549,,,0000-00-00,0,,,,0,0
33685553,,,0000-00-00,0,,,,0,0
33685561,,,0000-00-00,0,,,,0,0
33685569,,,0000-00-00,0,,,,0,0
33685573,,,0000-00-00,1,R21-201/2716.397,,,0,0
33685577,,,0000-00-00,1,R11-201/2716,,,0,0
33685581,,,0000-00-00,0,,,,0,0
33685589,,,0000-00-00,1,NCN101017535,,,0,0
33685593,,,0000-00-00,0,,,,0,0
33685601,,,0000-00-00,0,,,,0,0
33685605,,,0000-00-00,0,,,,0,0
33685609,,,0000-00-00,0,,,,0,0
33685613,,,0000-00-00,0,,,,0,0
33685617,,,0000-00-00,0,,,,0,0
33685621,,58189193,0000-00-00,1,600118389,,,0,0
33685625,,,0000-00-00,0,,,,0,0
33685629,,,0000-00-00,0,,,,0,0
33685633,,,0000-00-00,0,,,,0,0
33685637,,,0000-00-00,0,,,,0,0
33685641,,,0000-00-00,0,,,,0,0
33685645,,,0000-00-00,0,,,,0,0
33685649,,,0000-00-00,0,,,,0,0
33685657,,,0000-00-00,0,,,,0,0
33685665,,,0000-00-00,0,,,,0,0
33685669,,,0000-00-00,0,,,,0,0
33685673,,,0000-00-00,0,,,,0,0
33685677,,,0000-00-00,0,,,,0,0
33685681,,,0000-00-00,0,,,,0,0
33685685,,,0000-00-00,0,,,,0,0
33685689,,,0000-00-00,0,,,,0,0
33685693,,,0000-00-00,0,,,,0,0
33685697,,,0000-00-00,0,,,,0,0
33685709,,,0000-00-00,0,,,,0,0
33685717,,,0000-00-00,0,,,,0,0
33685721,,,0000-00-00,0,,,,0,0
33685725,,,0000-00-00,0,,,,0,0
33685733,,,0000-00-00,0,,,,0,0
33685737,,,0000-00-00,0,,,,0,0
33685741,,,0000-00-00,0,,,,0,0
33685745,,,0000-00-00,0,,,,0,0
33685749,,,0000-00-00,0,,,,0,0
33685753,,,0000-00-00,0,,,,0,0
33685761,,,0000-00-00,0,,,,0,0
33685765,,,0000-00-00,0,,,,0,0
33685773,,,0000-00-00,0,,,,0,0
33685777,,,0000-00-00,0,,,,0,0
33685781,,,0000-00-00,0,,,,0,0
33685785,,,0000-00-00,0,,,,0,0
33685793,,58253156,0000-00-00,1,GA877491,,,0,0
33685797,,,0000-00-00,0,,,,0,0
33685801,,,0000-00-00,0,,,,0,0
33685813,,,0000-00-00,0,,,,0,0
33685817,,,0000-00-00,0,,,,0,0
33685821,,,0000-00-00,0,,,,0,0
33685825,,,0000-00-00,0,,,,0,0
33685829,,,0000-00-00,0,,,,0,0
33685833,,,0000-00-00,0,,,,0,0
33685841,,,0000-00-00,0,,,,0,0
33685845,,,0000-00-00,0,,,,0,0
33685849,,,0000-00-00,0,,,,0,0
33685857,,,0000-00-00,0,,,,0,0
33685865,,,0000-00-00,0,,,,0,0
33685869,,58189233,0000-00-00,1,5H49251,,,0,0
33685881,,,0000-00-00,0,,,,0,0
