bet_id,soort_vergoeding,waarde,max_periode
125923103,,0,0
125923544,,0,0
125924143,,0,0
125926502,,0,0
125926506,,0,0
125935707,,0,0
125935710,,0,0
125954450,,0,0
125957500,,0,0
125957512,,0,0
125957862,,0,0
125967484,,0,0
125991127,,0,0
125992923,,0,0
126004429,,0,0
126004561,,0,0
126004577,,0,0
126004925,,0,0
126004945,,0,0
126005389,,0,0
126005641,,0,0
126005857,,0,0
126006419,,0,0
126016199,,0,0
126016324,,0,0
126016328,,0,0
126018024,,0,0
126020382,,0,0
126025579,,0,0
126028650,,0,0
126044929,,0,0
126044938,,0,0
126046009,,0,0
126050948,,0,0
126050951,,0,0
126051589,,0,0
126052637,,0,0
126052651,,0,0
126052681,,0,0
126052802,,0,0
126054269,,0,0
126054459,,0,0
126054542,,0,0
126054562,,0,0
126054847,,0,0
126054958,,0,0
126054962,,0,0
126054966,,0,0
126055046,,0,0
126055151,,0,0
126055473,,0,0
126055655,,0,0
126063841,,0,0
126065370,,0,0
126071546,,0,0
126071566,,0,0
126072093,,0,0
126072103,,0,0
126072493,,0,0
126072558,,0,0
126072583,,0,0
126072591,,0,0
126072613,,0,0
126080329,,0,0
126080358,,0,0
126080374,,0,0
126080382,,0,0
126080407,,0,0
126088195,,0,0
126088317,,0,0
126088370,,0,0
126088437,,0,0
126088445,,0,0
126088457,,0,0
126088470,,0,0
126088474,,0,0
126088937,,0,0
126089018,,0,0
126089446,,0,0
126089473,,0,0
126089502,,0,0
126089514,,0,0
126089549,,0,0
126089765,,0,0
126089777,,0,0
126089815,,0,0
126090279,,0,0
126090283,,0,0
126090463,,0,0
126090466,,0,0
126090755,,0,0
126090759,,0,0
126090847,,0,0
126090849,,0,0
126090851,,0,0
126090858,,0,0
126090866,,0,0
126090917,,0,0
126091393,,0,0
126091655,,0,0
126091831,,0,0
126091841,,0,0
126091898,,0,0
126091918,,0,0
126091934,,0,0
126091938,,0,0
126092093,,0,0
126092250,,0,0
126092254,,0,0
126092986,,0,0
126094569,,0,0
126094577,,0,0
126094603,,0,0
126094613,,0,0
126094761,,0,0
126094775,,0,0
126094946,,0,0
126094981,,0,0
126095193,,0,0
126095199,,0,0
126095219,,0,0
126095227,,0,0
126095297,,0,0
126095511,,0,0
126095519,,0,0
126095935,,0,0
126095966,,0,0
126096213,,0,0
126096215,,0,0
126096282,,0,0
126097434,,0,0
126097450,,0,0
126102565,,0,0
126102599,,0,0
126107099,,0,0
126107113,,0,0
126107115,,0,0
126107122,,0,0
126107197,,0,0
126107215,,0,0
126107219,,0,0
126107262,,0,0
126107305,,0,0
126107347,,0,0
126107373,,0,0
126107381,,0,0
126107438,,0,0
126107471,,0,0
126107473,,0,0
126107570,,0,0
126107574,,0,0
126107595,,0,0
126107606,,0,0
126107610,,0,0
126110487,,0,0
126110542,,0,0
126110574,,0,0
126110639,,0,0
126110926,,0,0
126110985,,0,0
126111001,,0,0
126111083,,0,0
126111125,,0,0
126111189,,0,0
126111210,,0,0
126111290,,0,0
126111397,,0,0
126111398,,0,0
126111442,,0,0
126111527,,0,0
126111531,,0,0
126111535,,0,0
126111887,,0,0
126111919,,0,0
126111939,,0,0
126112427,,0,0
126112611,,0,0
126112621,,0,0
126112649,,0,0
126112655,,0,0
126112659,,0,0
126112673,,0,0
126112689,,0,0
126112743,,0,0
126113975,,0,0
126113979,,0,0
126116641,,0,0
126116677,,0,0
126116687,,0,0
126116741,,0,0
126117811,,0,0
126117854,,0,0
126117857,,0,0
126117889,,0,0
126117901,,0,0
126117922,,0,0
126117928,,0,0
126117985,,0,0
126118054,,0,0
126118063,,0,0
126118112,,0,0
126118132,,0,0
126118144,,0,0
126118147,,0,0
126118210,,0,0
126118630,,0,0
126118744,,0,0
126118750,,0,0
126118753,,0,0
126119305,,0,0
126119341,,0,0
126119347,,0,0
126119578,,0,0
126119609,,0,0
126119819,,0,0
126120059,,0,0
126120082,,0,0
126120281,,0,0
126120476,,0,0
126120481,,0,0
126121048,,0,0
126121159,,0,0
126121276,,0,0
126121378,,0,0
126121384,,0,0
126122002,,0,0
126122011,,0,0
126122063,,0,0
126128224,,0,0
126128266,,0,0
126128389,,0,0
126128416,,0,0
126128428,,0,0
126129406,,0,0
126129424,,0,0
126129430,,0,0
126129488,,0,0
126129503,,0,0
126129619,,0,0
126129676,,0,0
126129688,,0,0
126129839,,0,0
126130157,,0,0
126130163,,0,0
126130988,,0,0
126131035,,0,0
126131584,,0,0
126131602,,0,0
126131632,,0,0
126131680,,0,0
126131683,,0,0
126131686,,0,0
126131965,,0,0
126132034,,0,0
126132562,,0,0
126132574,,0,0
126171961,,0,0
126176305,,0,0
126177628,,0,0
126177637,,0,0
126177646,,0,0
126177686,,0,0
126178304,,0,0
126179035,,0,0
126189622,,0,0
126193189,,0,0
126193883,,0,0
126194458,,0,0
126194495,,0,0
126194557,,0,0
126194833,,0,0
126196075,,0,0
126196078,,0,0
126196138,,0,0
126196184,,0,0
126196187,,0,0
126196211,,0,0
126196256,,0,0
126196262,,0,0
126196417,,0,0
126196546,,0,0
126196603,,0,0
126196606,,0,0
126198136,,0,0
126198443,,0,0
126203371,,0,0
126204152,,0,0
126204173,,0,0
126212932,,0,0
126220028,,0,0
126223759,,0,0
126234811,,0,0
126261082,,0,0
126261088,,0,0
126270691,,0,0
126290621,,0,0
126291640,,0,0
126304712,,0,0
126305683,,0,0
126310837,,0,0
126310988,,0,0
126329338,,0,0
126329344,,0,0
126329347,,0,0
126330013,,0,0
126330019,,0,0
126357754,,0,0
126357763,,0,0
126405406,,0,0
126405460,,0,0
126408211,,0,0
126421039,,0,0
126424694,,0,0
126484393,,0,0
126485138,,0,0
126560911,,0,0
126577979,,0,0
126614947,,0,0
126620295,,0,0
126693347,,0,0
126693801,,0,0
126701724,,0,0
126701726,,0,0
126701729,,0,0
126704967,,0,0
126705762,,0,0
126709869,,0,0
126710016,,0,0
126711096,,0,0
126713289,,0,0
126714528,,0,0
126717507,,0,0
126717513,,0,0
126717518,,0,0
126717675,,0,0
126717684,,0,0
126717722,,0,0
126791642,,0,0
126812610,,0,0
126813087,,0,0
126813141,,0,0
126859227,,0,0
126859236,,0,0
126859245,,0,0
127043712,,0,0
127043792,,0,0
127044486,,0,0
127044489,,0,0
127047693,,0,0
127048284,,0,0
127049529,,0,0
127055117,,0,0
127056462,,0,0
127057410,,0,0
127057421,,0,0
127072140,,0,0
127090494,,0,0
127106085,,0,0
127107270,,0,0
127815096,,0,0
127937315,,0,0
128679387,,0,0
128689247,,0,0
128696121,,0,0
128767905,,0,0
128774766,,0,0
128779250,,0,0
128783868,,0,0
128788827,,0,0
128798205,,0,0
128809188,,0,0
128809694,,0,0
128821553,,0,0
128826218,,0,0
128826230,,0,0
128858493,,0,0
128858666,,0,0
128865480,,0,0
128873324,,0,0
128873835,,0,0
128874939,,0,0
128880146,,0,0
128903940,,0,0
128904003,,0,0
128918358,,0,0
128986395,,0,0
129022821,,0,0
129023814,,0,0
129214221,,0,0
129214584,,0,0
129217563,,0,0
129228609,,0,0
129240887,,0,0
129242162,,0,0
129255915,,0,0
129256019,,0,0
129256074,,0,0
129268668,,0,0
129314715,,0,0
129323193,,0,0
129323762,,0,0
129335883,,0,0
129353141,,0,0
129385377,,0,0
129385449,,0,0
129385854,,0,0
129386448,,0,0
129390855,,0,0
129391853,,0,0
129392205,,0,0
129393234,,0,0
129395094,,0,0
129395337,,0,0
129397679,,0,0
129399381,,0,0
129399434,,0,0
129400959,,0,0
129401754,,0,0
129401757,,0,0
129401760,,0,0
129404412,,0,0
129404676,,0,0
129405192,,0,0
129405278,,0,0
129405311,,0,0
129405344,,0,0
129405368,,0,0
129408108,,0,0
129416523,,0,0
129416612,,0,0
129417578,,0,0
129479304,,0,0
129715944,,0,0
129723080,,0,0
129723254,,0,0
129811398,,0,0
129838163,,0,0
129845061,,0,0
129846011,,0,0
129878355,,0,0
129879419,,0,0
129905439,,0,0
129905442,,0,0
129980619,,0,0
130007094,,0,0
130050173,,0,0
130053240,,0,0
130053912,,0,0
130075179,,0,0
130080927,,0,0
130153988,,0,0
130185495,,0,0
130186098,,0,0
130215291,,0,0
130245702,,0,0
130259351,,0,0
130260002,,0,0
130351541,,0,0
130380084,,0,0
130488951,,0,0
130489067,,0,0
130533554,,0,0
130533555,,0,0
130564748,,0,0
130564850,,0,0
130593453,,0,0
130710873,,0,0
130714962,,0,0
130991447,,0,0
130991534,,0,0
130994822,,0,0
131306853,,0,0
131334153,,0,0
131339184,,0,0
131373618,,0,0
131405151,,0,0
131414960,,0,0
131415498,,0,0
131415513,,0,0
131415626,,0,0
131415645,,0,0
131523821,,0,0
131564087,,0,0
131618151,,0,0
131620280,,0,0
131622287,,0,0
131757719,,0,0
131835725,,0,0
131848448,,0,0
132023688,,0,0
132035819,,0,0
132078078,,0,0
132082866,,0,0
132124350,,0,0
132124356,,0,0
132126953,,0,0
132215915,,0,0
132224999,,0,0
132359423,,0,0
132363290,,0,0
132370428,,0,0
132399648,,0,0
132399729,,0,0
132400931,,0,0
132400934,,0,0
132413333,,0,0
132444258,,0,0
132444938,,0,0
132481779,,0,0
132536562,,0,0
132597051,,0,0
132597075,,0,0
132597402,,0,0
132597713,,0,0
132599147,,0,0
132600290,,0,0
132600299,,0,0
132600446,,0,0
132600701,,0,0
132601448,,0,0
132602276,,0,0
132602445,,0,0
132602502,,0,0
132603317,,0,0
132604892,,0,0
132648422,,0,0
132649109,,0,0
132668636,,0,0
132717668,,0,0
132733812,,0,0
132750666,,0,0
132753434,,0,0
132773570,,0,0
132788060,,0,0
132788721,,0,0
132839535,,0,0
132839805,,0,0
