mail_send_attachment_id,mail_send_id,bestand_id,contentDisposition
26819307,20144937,174205707,
26819310,20144937,174205710,
26819313,20144937,174205713,
26819316,20144937,174205716,
26819319,20144937,174205719,
26819322,20144937,174205722,
26826846,20149590,174236568,
26826849,20149590,174236571,
26830249,20151784,174252274,
26831424,20152533,174257172,
26833125,20153649,174265569,
26840067,20158209,174294789,
26840140,20158255,174295009,
26840218,20158321,174295444,
26841322,20158987,174299794,
26841325,20158987,174299797,
26841328,20158987,174299800,
26841331,20158987,174299803,
26841334,20158987,174299806,
26841717,20159214,174301122,
26841720,20159214,174301125,
26841723,20159214,174301128,
26843539,20160454,174308563,
26843542,20160454,174308566,
26844571,20161054,174312274,
26854506,20167497,174354192,
26854509,20167497,174354201,
26854512,20167497,174354207,
26854881,20167746,174355344,
26854911,20167752,174355401,
26855595,20168217,174358503,
26855598,20168217,174358506,
26855601,20168217,174358509,
26855604,20168217,174358512,
26855607,20168217,174358515,
26855610,20168217,174358518,
26858044,20169748,174368653,
26859070,20170225,174372205,
26875770,20180451,174438963,
26875773,20180451,174438966,
26875782,20180463,174439017,
26875785,20180463,174439020,
26875788,20180463,174439023,
26875791,20180463,174439026,
26875794,20180463,174439029,
26875797,20180463,174439032,
26877109,20181445,174443785,
26883391,20185915,174470341,
26883394,20185915,174470344,
26883397,20185915,174470347,
26885089,20186938,174476977,
26885092,20186938,174476980,
26885095,20186938,174476983,
26885098,20186938,174476986,
26885101,20186938,174476989,
26885104,20186938,174476992,
26885107,20186938,174476995,
26885586,20187180,174478698,
26885589,20187180,174478701,
26885592,20187180,174478704,
26885595,20187180,174478707,
26885598,20187180,174478710,
26885601,20187180,174478713,
26885604,20187180,174478716,
26885607,20187180,174478719,
26885610,20187180,174478722,
26885613,20187183,174478740,
26885616,20187183,174478743,
26885619,20187183,174478746,
26885622,20187183,174478749,
26885625,20187183,174478752,
26885628,20187183,174478755,
26885631,20187183,174478758,
26885634,20187183,174478761,
26885637,20187183,174478764,
26885655,20187192,174478800,
26885658,20187192,174478803,
26885661,20187192,174478806,
26885664,20187192,174478809,
26885667,20187192,174478812,
26885670,20187192,174478815,
26885673,20187192,174478818,
26885676,20187192,174478821,
26885679,20187192,174478824,
26885832,20187267,174479406,
26885835,20187267,174479409,
26885838,20187267,174479412,
26885841,20187267,174479415,
26885844,20187267,174479418,
26885847,20187267,174479421,
26885850,20187267,174479424,
26885853,20187267,174479427,
26886247,20187574,174480919,
26886510,20187750,174481809,
26889924,20189835,174493302,
26889927,20189835,174493305,
26891649,20190840,174499782,
26899131,20196048,174530676,
26899134,20196048,174530679,
26899137,20196048,174530682,
26899146,20196060,174530772,
26899155,20196075,174530832,
26899158,20196075,174530835,
26899161,20196075,174530838,
26899164,20196075,174530841,
26899167,20196075,174530844,
26899170,20196075,174530847,
26899173,20196075,174530850,
26904133,20199094,174549829,
26909700,20203158,174577359,
26911449,20204301,174583413,
26911884,20204589,174585771,
26911887,20204589,174585774,
26911890,20204589,174585780,
26911893,20204589,174585783,
26911896,20204589,174585789,
26911899,20204589,174585792,
26911926,20204622,174585975,
26912142,20204730,174586788,
26912191,20204800,174587128,
26912194,20204800,174587131,
26912197,20204800,174587134,
26917800,20208642,174609726,
26917803,20208642,174609729,
26917836,20208663,174609840,
26918262,20208960,174611442,
26918265,20208960,174611445,
26918268,20208960,174611448,
26918271,20208960,174611451,
26918274,20208960,174611454,
26918277,20208960,174611457,
26918280,20208960,174611460,
26918283,20208960,174611463,
26918286,20208960,174611466,
26924592,20212959,174636789,
26924854,20213215,174638563,
26926186,20214211,174644512,
26929045,20216263,174655759,
26929759,20216815,174658438,
26929762,20216815,174658441,
26929765,20216815,174658444,
26929768,20216815,174658447,
26929771,20216815,174658450,
26929774,20216815,174658453,
26929792,20216824,174658501,
26929795,20216824,174658504,
26929798,20216824,174658507,
26929801,20216824,174658510,
26929804,20216824,174658513,
26929807,20216824,174658516,
26929810,20216824,174658519,
26931115,20217448,174662563,
26931118,20217448,174662566,
26931121,20217448,174662569,
26931124,20217448,174662572,
26931127,20217448,174662575,
26935477,20220289,174685105,
26935480,20220289,174685108,
26935483,20220289,174685111,
