waarborg_id,uitkeringsdatum_kapitaal_leven,datum_waardering_reserve,fiscaliteit_levensverzekeringspremie,fiscaal_regime_vd_prestaties,oorsprong_der_premiebetaling,contract_genereert_winstdeelname,contract_onderhevig_aan_perequatie,onderworpenheid_vd_prestatie,voorschot_op_polis,kapitaal_bij_leven,kapitaal_bij_overlijden,verworven_winstdeelname_bij_leven,verworven_winstdeelname_bij_overlijde,toekenning_winstdeelname_vh_jaar,waarde_vd_reserve,type_std_begunstigde_bij_leven,begunstigde_std_heeft_contractvdl_aanv_bleven,type_std_begunstigde_bij_overlijde,begunstigde_std_heeft_contractvdl_aanv_boverlijde,jaarlijkse_rente_levensv,gewaarborgde_rentevoet_leven,kapitaal
75992020,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,25000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
75992029,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500.00
75992032,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,25000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
75992041,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500.00
75992053,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,25000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
75992062,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500.00
76264343,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,25000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
76264346,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,25000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
76519102,0000-00-00,2019-12-31,16,,,0,0,0,0,0.00,2074000.00,0.00,0.00,0.00,0.00,,0,,1,0.00,2.00,0.00
79312762,0000-00-00,2019-12-31,16,,,0,0,0,0,0.00,2074000.00,0.00,0.00,0.00,0.00,,0,,1,0.00,2.00,0.00
79921005,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,25000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
79921014,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500.00
82227642,2048-03-01,2026-05-19,16,3,01,1,0,0,1,0.00,150000.00,2567.95,0.00,0.00,83904.88,1,0,7,0,0.00,0.00,0.00
82399029,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
82399032,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,15000.00
82399035,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
83738094,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
83738097,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,15000.00
83738100,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500000.00
84943826,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,25000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
84943835,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500.00
85222364,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,25000.00
85880280,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,50000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
85880286,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500.00
86477886,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,25000.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,0.00
86477895,0000-00-00,0000-00-00,,,,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,,0,,0,0.00,0.00,2500.00
