waarborg_id,bm_toegepast,bm_referte,bm_vorige
83077161,7,7,
83083698,-2,-2,
83088342,-2,-2,
83101640,-2,-2,
83113230,0,0,
83136504,-2,-2,
83172915,-2,,
83201184,-2,,
83201331,-2,,-2
83201337,0,,0
83208300,-2,,
83208306,3,,
83219277,6,,
83235221,0,,0
83324526,11,,11
83325224,0,,0
83325230,0,,0
83401652,,,6
83401655,,,3
83411965,0,0,
83477874,6,,6
83511143,0,,
83519711,-2,-2,
83530473,0,0,
83555768,-2,-2,
83565450,6,,6
83576567,-2,-2,
83586263,-2,,-2
83586269,0,,0
83593766,-2,-2,
83648370,6,,6
83649564,2,2,
83672324,,10,
83675124,11,,11
83712738,0,,
83715672,-1,,
83715699,-2,,
83715705,0,,
83716230,9,,10
83716236,9,,10
83792169,-2,-2,
83799444,-2,-2,
83835777,3,3,
83837637,0,0,
83842344,11,,11
83845473,-2,,-2
83845497,11,,
83845521,-2,,-2
83845551,-2,,-2
83845557,0,,0
83867921,-2,,
83881262,0,,0
83881268,0,,0
83886759,-2,,
83915475,-2,,-2
83915481,0,,0
83915490,-2,,-2
83918466,7,7,
83918487,-2,-2,
83928972,-2,,-2
83928978,0,,0
83929137,0,,0
83937033,0,,0
83937104,-2,-2,
83976570,2,2,
84066830,0,,
84075590,7,7,
84075671,7,7,
84151862,-2,-2,
84261579,-2,-2,
84281736,9,,
84282191,-2,,
84286236,-2,,
84293385,0,,
84293444,-2,,
84312104,4,,
84312110,4,,
84325031,7,,7
84325043,-2,,
84330660,11,,11
84330813,-2,-2,
84332427,0,,0
84334044,-2,-2,
84341465,-2,,-2
84341840,2,2,
84349077,-2,-2,
84378452,9,,9
84488156,-2,-2,
84501596,0,,
84515342,-2,-2,
84539597,-2,-2,
84547985,7,7,
84554846,4,,0
84554852,4,,0
84554861,4,,0
84554867,1,,0
84562448,-2,-2,
84562583,-2,-2,
84587613,-2,-2,
84587829,-2,,-1
84587835,0,,0
84587886,-2,,-1
84587892,0,,0
84587922,-2,,-2
84587928,0,,0
84588009,8,,-1
84588015,0,,0
84588069,-2,,-1
84588078,0,,0
84588962,-2,-2,
84610365,-2,-2,
84630722,-2,-2,
84630740,-2,-2,
84684374,,8,
84690062,-2,-2,
84698373,8,,9
84699911,5,5,
84732030,5,5,
84744885,-2,,-2
84744894,0,,0
84752760,0,0,
84788852,-2,,-2
84788858,0,,0
84821853,-2,-2,
84875468,9,,9
84889217,-2,-2,
84889226,-2,-2,
84889556,-2,-2,
84890234,6,6,
84943853,11,,11
84943859,8,,8
84950100,5,,6
84950163,5,,5
84959472,7,7,
84959523,7,7,
84959549,0,0,
84959576,0,0,
84959633,0,0,
84959690,7,7,
84959699,7,7,
84960101,7,7,
84961346,-2,-2,
84965795,-2,-2,
84975599,2,2,
84975661,8,8,
84976787,-2,,-2
84977546,0,,
85005449,2,2,
85072814,2,2,
85073763,-2,-2,
85074002,7,7,
85106888,-2,-2,
85132605,-2,-2,
85141767,-2,,-2
85141788,0,0,
85141815,-2,-2,
85173383,-1,-1,
85197519,-2,,
85197525,0,,
85224530,-2,,
85245305,4,4,
85250060,11,11,
85252188,6,6,
85263860,0,,
85263866,0,,
85269293,0,,0
85269299,0,,0
85622502,-2,-2,
85624235,11,11,
85628996,7,7,
85631645,-2,-2,
85633031,0,0,
85880346,0,,
85953453,0,,
85953459,0,,
85954545,0,0,
85955130,-1,-1,
86209664,5,,5
86247248,-2,-2,
86247302,-2,-2,
86248007,0,0,
86248940,0,0,
86299673,-2,-2,
86301258,-2,-2,
86315327,-2,-2,
86337347,0,,
86349009,-1,-1,
86349024,2,2,
86385905,-2,,-2
86403084,-2,-2,
86421086,1,1,
86431784,-2,-2,
86431793,0,0,
86431865,-2,-2,
86431871,11,,11
86431883,11,,
86432022,-2,,
86454297,-2,-2,
86461050,-2,-2,
86471580,-2,-2,
86477913,10,10,
86487321,-2,,-2
86489856,0,0,
86506856,-2,,-2
86520858,0,0,
86521044,-2,-2,
86524577,-2,,
86537921,-1,,
86539206,-2,-2,
86564912,11,11,
86581935,0,0,
86588181,0,0,
86596878,-2,-2,
86608923,-2,-2,
86621544,0,,
86653176,2,2,
86653470,-2,-2,
86659152,-2,-2,
86739741,-1,,-1
86858830,0,,
86896330,14,,
87034645,-2,,-2
87034651,0,,0
87045415,-2,-2,
87057226,-2,,
87057232,0,,
87059665,0,0,
87059899,0,0,
87063721,8,8,
87084676,-2,-2,
87092765,-2,-2,
87113704,-2,-2,-2
87159422,3,3,
87187612,-2,-2,
87220769,0,,0
87221389,5,5,
87224585,5,,5
87231029,4,4,
87251794,0,0,
87263590,-2,-2,
87268687,0,0,
87268696,-2,-2,
87285158,5,5,
87285161,8,,8
87298090,2,2,
87301318,-2,,-2
87301381,-2,-2,
87308933,-2,-2,
87309713,7,7,
87311473,-2,,
87311763,-2,-2,
87316997,-1,,-1
87351407,3,3,
87361795,3,3,
87363988,0,0,
87403805,-2,,-2
87403811,0,,0
87404023,-2,,-2
87404035,-2,,-2
87404038,-2,,-2
87413218,-2,,-2
87413269,-2,,-2
87417383,-2,-2,
87417385,6,,6
87423521,0,,0
87427718,4,4,
87427751,4,4,
87441209,-2,-2,
87441236,-2,-2,
87446480,-2,-2,
87446486,-2,-2,
87458246,6,,6
87468266,-2,-2,
87470663,5,,5
87470675,6,,6
87492542,1,1,
87493421,5,5,
87495556,14,,14
87519727,11,,
87534244,-2,-2,
87569914,6,6,
87589609,4,,
87589612,0,,
87591166,2,2,
87593311,6,6,
87598162,-2,-2,
87598171,-2,-2,
87598177,-2,-2,
87604273,0,,
87700840,-2,-2,
87771647,0,0,
87780049,-2,-2,
87780865,4,,4
87780871,1,,1
87783466,-2,-2,
87783887,4,4,
87783899,0,0,
87783908,1,1,
87792244,0,,
87792766,-2,,
87830057,-2,-2,
87853039,-2,-2,
87853051,0,,
87853063,0,0,
87853409,0,0,
87890249,8,8,
87911711,-2,,-2
87925030,0,0,
87961891,5,5,
88041304,-2,-2,
88064008,-2,-2,
88079452,-2,-2,
88087880,7,7,
88089188,4,4,
88089263,-2,-2,
88111412,-2,-2,
88119553,-2,-2,
88119559,-2,-2,
88138255,-2,,-2
88138273,-2,,-2
88145576,-2,-2,
88151351,-2,-2,
88165327,-2,-2,
88166284,-2,-2,
88195060,0,0,
88217920,0,0,
88231337,-2,,-2
88253323,-2,-2,
88280299,0,0,
88281494,-2,-2,
88293787,0,0,
88315909,-2,-2,
88348577,6,,6
88348589,-2,-2,
88349677,-2,-2,
88353022,-2,,-2
88423840,-2,-2,
88428227,-2,-2,
88449613,0,,0
88449619,0,,0
88449652,0,,0
88449658,0,,0
88456282,-2,-2,
88456372,0,,0
88456378,0,,0
88465676,0,0,
88491961,0,0,
88501420,0,,0
88501432,0,,0
88523287,5,,5
88537141,0,,0
88537147,0,,0
88542415,0,,
88542427,0,,
88564087,15,15,
88572002,-2,-2,
88581472,4,,
88581478,4,,
88588534,-2,,-2
88588910,4,,4
88588916,4,,4
88598230,-1,,-1
88622431,-2,,-2
88635386,0,0,
88638625,0,,0
88650583,-2,,-2
88650607,-2,,-2
88651339,0,0,
88657942,0,0,
88671571,0,0,
88698379,2,2,
88709971,8,,8
88729798,-2,,-2
88749553,-2,,-2
88749562,0,,0
88751762,5,,5
88782278,-2,-2,
88791991,0,,0
88791997,0,,0
88792187,0,0,
88796276,2,2,
88810163,-2,-2,
88810277,11,,
88869295,11,11,
88880043,-2,-2,
88894905,-2,-2,
88898103,-2,-2,
88907711,0,0,
88909767,0,,0
88909771,0,,0
88914229,-2,,-2
88914233,0,,0
88928013,-2,,-2
88934299,15,15,
88947345,11,11,
88948515,9,9,
88953265,0,0,
88977273,1,,1
88984181,7,7,
88985277,-2,,-2
89079309,-2,,-2
89093223,0,0,
89124673,-2,-2,
89152671,0,0,
89158923,6,,6
89170830,-1,,-1
89170836,0,,0
89174529,-2,,-2
89174535,0,,0
